Unnamed: 0, Top Traded Products In the World  Q1 2025,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,Import ,,,% share of World Import,,Export ,,,% share of World Export
,HS10,Products,Value  (₦),,,HS10,Products,Value  (₦),
,2710192100,Gas oil,1829839752942.96,11.8619151097772,,2709000000,"Petroleum oils and oils obtained from bituminous minerals, crude.",12955028202466.8,62.8931247796352
,2710125000,"Motor spirit, ordinary",1761376947107.66,11.4181057599752,,2711110000,Natural gas,1932587982688.39,9.38218699668291
,2709000000,"Petroleum oils and oils obtained from bituminous minerals, crude.",1188248267913,7.70280570233253,,2711290000,Other petroleum gases etc in gaseous state,1780826867410.68,8.64542821772169
,1701141000,"Cane sugar specified in Subheading Note 2 to Chapter 17, Meant for sugar refinery",305734943315,1.98192324648229,,3102100000,"Urea, whether or not in aqueous solution",855853772946.76,4.15493639178746
,1001190000,Durum wheat (Not in seeds),298332338138,1.93393594373649,,1801001200,Standard quality Cocoa beans,719904997809.62,3.49494220692643
,8711201000,"Motorcycles and cycles fitted with auxiliary motor,petrol fuel, capacity >50<250cc, CKD",209206796885,1.3561806497247,,1801001100,Superior quality Cocoa beans,508271847984.02,2.46752104724464
,8517620000,"Machines for reception, conversion and transmission ... of voice, images or data.",142576998768,0.924253751331383,,2710191100,Kerosine type jet fuel,315242409730.33,1.53041582782717
,3902100000,Polypropylene,137384398462,0.89059277969181,,2711190000,Other Liquefied petroleum gases and other gaseous hydrocarbons,165816901561.03,0.804995783680701
,3808939000,"Other Herbicides, antisprouting products and plantgr",135996270565,0.881594256597509,,0801310000,Cashew nuts In shell,157634948094.828,0.76527463354125
,8703332000,"Used Vehicles, with diesel or semidiesel engine, of cylinder capacity >2500cc",130726300984,0.847431739524421,,1207400000,Sesamum seeds,128180168389.95,0.622279720185305
,8541430000,Photovoltaic cells assembled in modules or made up into panels,125294286496,0.812218768209252,,2710129000,Other Light oils and preparations Not specified or included,109557203659.13,0.531870311091222
,4011200000,"New pneumatic tyres, of rubber of a kind used on buses or lorries",121990687659,0.790803226821965,,2711120000,Propane,93157799297.49,0.452255680485329
,8517790000,Other Aerials and aerial reflectors of all kinds,120265864630,0.779622081414844,,7108110000,Nonmonetary Gold (including gold plated with platinum) in Powder form,88567364416.65,0.429970372476622
,3811290000,Other additives for lubricating oils (excl. with petroleum oils),115702081474,0.750037409703107,,1804002000,Natural cocoa butter,80053772313.83,0.388639207304506
,3004909000,Other medicaments not else where specified,102080769063,0.661737408982731,,2710192300,Light fuel oil,66317051323.04,0.321951177465074
,,,,,,,,,
,,,,,,,,,
, Top Traded Products In Africa  Q1 2025,,,,,,,,
,,,,,,,,,
,Import ,,,% share of Africa Import,,Export,,,% share of Africa Export
,HS10,Products,Value  (₦),,,HS10,Products,Value  (₦),
,2709000000,"Petroleum oils and oils obtained from bituminous minerals, crude.",122366703583.02,15.9576688546124,,2709000000,"Petroleum oils and oils obtained from bituminous minerals, crude.",1487166479265.53,80.2457804718281
,2710125000,"Motor spirit, ordinary",89179185720,11.6297315591103,,2710192300,Light fuel oil,66317051323.04,3.57839126701931
,4101500000,"Whole hides and skins, of a weight exceeding 16 kg",70741534098,9.22530347184905,,2716000000,Electrical energy. (optional heading),65649389711.858,3.54236501990618
,3105300000,Diammonium hydrogenorthophosphate (diammonium phosphate),44571854081,5.81255249045869,,2710129000,Other Light oils and preparations Not specified or included,27562910788.43,1.48726273697702
,8704311990," Other Vehicles for goods transport, petrol fuel engine.",25839773905,3.36972839163139,,3102100000,"Urea, whether or not in aqueous solution",25101159246.27,1.35442947548103
,2520200000,Plasters,23479893171,3.06197968069221,,2523100000,Cement clinkers,22749133240,1.22751687679444
,2710192100,Gas oil,23152577508,3.01929490772586,,2711120000,Propane,21660535733.32,1.16877741637682
,3302100000,Mixtures of odoriferous substances of a kind used in the food or drink industries,21886952330,2.85424651716525,,2402200000,Cigarettes containing tobacco,19849506122.33,1.07105635648361
,2713200000,Petroleum bitumen,20580608306,2.68388803945199,,7108110000,Nonmonetary Gold (including gold plated with platinum) in Powder form,9465969821.76,0.510772766102857
,3902100000,Polypropylene,20353506036,2.65427195341979,,7612901000,Aluminium Cans,8985759677.78,0.484861183014194
,2710123000,Aviation spirit,17514003090,2.2839763877374,,2302300000,"Bran, sharps and other residues of wheat",8606012484.16,0.464370464349614
,2501002090,Salt for human consumption (bulk>ship load),17322389388,2.25898831569664,,2711130000,Butanes,8087772294.72,0.436406824062335
,2710192300,Light fuel oil,15041907147,1.96159385000351,,8905900000,"Lightvessels, firefloats, floating cranes, and other vessels not specified in 8905",7984173202,0.430816737029446
,3824999900,Other not elsewhere specified or included in the sub-heading,12341888966,1.60948829536953,,2523290000,Other excluding White cement,7785982997.74,0.4201226231932
